iter	RMSE
0	1.085288745
1	1.052606512
2	1.025685325
3	0.9995162435
4	0.9711311454
5	0.946153186
6	0.9201696177
7	0.8991615494
8	0.8809631379
9	0.8635855017
10	0.8453221478
11	0.8299367705
12	0.811196198
13	0.7951379526
14	0.7825600162
15	0.7687123873
16	0.7539939642
17	0.7407687482
18	0.7301023802
19	0.7181970207
20	0.7041839526
21	0.6967282005
22	0.6880061431
23	0.6799852062
24	0.6697570181
25	0.6624918878
26	0.6556490441
27	0.6497321481
28	0.6424843384
29	0.635833838
30	0.6303242791
31	0.6251176846
32	0.6186986952
33	0.613651513
34	0.6048181159
35	0.5999509078
36	0.5939305708
37	0.588483727
38	0.5849233277
39	0.5807804518
40	0.5774880572
41	0.5717396732
42	0.5679164788
43	0.5624631857
44	0.5589129452
45	0.5547450178
46	0.5525313379
47	0.5495789514
48	0.5474496879
49	0.5450795729
50	0.542907555
51	0.5409785527
52	0.5389297562
53	0.5367223804
54	0.5342750047
55	0.5320712492
56	0.528780573
57	0.5271549006
58	0.5242508592
59	0.5222344401
60	0.5203739438
61	0.5196481944
62	0.5179594163
63	0.5167861175
64	0.5140751047
65	0.5130149368
66	0.511714302
67	0.510412999
68	0.5091992026
69	0.5073035659
70	0.5058397968
71	0.5044622066
72	0.5030883585
73	0.5008945297
74	0.4996905245
75	0.4988308187
76	0.4969740774
77	0.496530645
78	0.495536312
79	0.4944043016
80	0.4935593655
81	0.4918539294
82	0.4911062738
83	0.4899219978
84	0.4883199147
85	0.4875004017
86	0.4861109848
87	0.4855081533
88	0.4841220061
89	0.4835537116
90	0.4824769325
91	0.4816838049
92	0.4805972719
93	0.4797914719
94	0.478737093
95	0.4778599211
96	0.4769844805
97	0.4754442677
98	0.4741543702
99	0.4733978011
