iter	Passed	Remaining
0	2	226
1	4	196
2	5	190
3	7	185
4	9	184
5	11	179
6	13	176
7	14	167
8	16	164
9	18	162
10	20	162
11	21	157
12	23	156
13	25	155
14	27	154
15	29	152
16	30	151
17	33	150
18	34	148
19	37	148
20	39	147
21	40	142
22	42	141
23	44	140
24	46	138
25	48	136
26	50	135
27	52	134
28	54	134
29	56	132
30	58	131
31	60	129
32	63	127
33	65	126
34	67	124
35	69	122
36	71	121
37	73	119
38	74	117
39	77	115
40	79	114
41	81	112
42	83	110
43	85	108
44	87	107
45	89	105
46	91	103
47	93	101
48	96	100
49	98	98
50	100	96
51	102	95
52	105	93
53	106	91
54	108	88
55	110	87
56	112	85
57	114	83
58	116	81
59	118	79
60	120	77
61	121	74
62	124	72
63	126	71
64	128	69
65	131	67
66	133	65
67	136	64
68	138	62
69	140	60
70	142	58
71	145	56
72	147	54
73	149	52
74	152	50
75	154	48
76	156	46
77	158	44
78	161	42
79	163	40
80	165	38
81	167	36
82	170	34
83	172	32
84	174	30
85	176	28
86	178	26
87	179	24
88	182	22
89	184	20
90	186	18
91	188	16
92	191	14
93	193	12
94	195	10
95	197	8
96	199	6
97	202	4
98	204	2
99	206	0
